Entry	Entry Name	Organism	Length	Gene Ontology (GO)
P02122	HBB_AQUCH	Aquila chrysaetos (Golden eagle)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02123	HBB_STRCA	Struthio camelus (Common ostrich)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02124	HBB_RHEAM	Rhea americana (Greater rhea) (Common rhea)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02125	HBB_CICCI	Ciconia ciconia (White stork)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02126	HBB_STUVU	Sturnus vulgaris (Starling)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02129	HBB_CRONI	Crocodylus niloticus (Nile crocodile) (African crocodile)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02130	HBB_ALLMI	Alligator mississippiensis (American alligator)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02131	HBB_CAICR	Caiman crocodilus (Spectacled caiman) (Caiman sclerops)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02134	HBB_PELLE	Pelophylax lessonae (Pool frog) (Rana lessonae)	140	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02135	HBB_AQUCT	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	140	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02136	HBB3_AQUCT	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02138	HBB_LEPPA	Lepidosiren paradoxus (South American lungfish)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02140	HBB_CARAU	Carassius auratus (Goldfish)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02142	HBB1_ONCMY	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P02143	HBB_HETPO	Heterodontus portusjacksoni (Port Jackson shark)	141	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P04245	HBB_TRAST	Tragelaphus strepsiceros (Greater kudu)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P04346	HBBA_BOSJA	Bos javanicus (Wild banteng)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P04443	HBB0_MOUSE	Mus musculus (Mouse)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P04444	HBBZ_MOUSE	Mus musculus (Mouse)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; protein-containing complex binding [GO:0044877]; carbon dioxide transport [GO:0015670]; erythrocyte development [GO:0048821]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]
P07036	HBB_CHLME	Chloephaga melanoptera (Andean goose) (Anser melanopterus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07406	HBB_PASMO	Passer montanus (Eurasian tree sparrow)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07409	HBB_SQUAC	Squalus acanthias (Spiny dogfish)	142	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07411	HBB_VULGR	Vultur gryphus (Andean condor)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07415	HBB_TRIIN	Trichechus inunguis (Amazon manatee) (Brazilian manatee)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07420	HBB_DASVI	Dasyurus viverrinus (Eastern quoll) (Didelphis viverrina)	87	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P07429	HBB1_XENTR	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P08259	HBB_MANSP	Mandrillus sphinx (Mandrill) (Papio sphinx)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P08423	HBB2_XENTR	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	147	haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; erythrocyte development [GO:0048821]; oxygen transport [GO:0015671]
P08535	HBB_LEPEU	Lepus europaeus (European hare)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P08851	HBB_ASTGE	Astur gentilis (Northern goshawk) (Accipiter gentilis)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P08853	HBB_MARMA	Marmota marmota marmota (Alpine marmot)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09421	HBB_SPECI	Spermophilus citellus (European ground squirrel) (Citellus citellus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09422	HBB_BISBO	Bison bonasus (European bison)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09840	HBB_MACCA	Macrotus californicus (Californian leaf-nosed bat)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09907	HBB_RHIUN	Rhinoceros unicornis (Greater Indian rhinoceros)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P09909	HBB_PHOVI	Phoca vitulina (Harbor seal)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P0C0U8	HBB1_DRYME	Drymarchon melanurus erebennus (Texas indigo snake) (Drymarchon corais erebennus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P0C239	HBB_ARTOR	Artedidraco orianae (Barbeled plunderfish)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P0C240	HBB_POGSC	Pogonophryne scotti (Saddleback plunderfish) (Antarctic fish)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10058	HBB_EUDCH	Eudyptes chrysocome (Western rockhopper penguin) (Aptenodytes chrysocome)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10060	HBB1_SPHPU	Sphenodon punctatus (Tuatara) (Hatteria punctata)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10061	HBB2_SPHPU	Sphenodon punctatus (Tuatara) (Hatteria punctata)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10782	HBB_PHACA	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10785	HBB1_TRICR	Triturus cristatus (Great crested newt) (Warty newt)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10786	HBB2_TRICR	Triturus cristatus (Great crested newt) (Warty newt)	145	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P10893	HBB_LUTLU	Lutra lutra (European river otter)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11342	HBB_COLLI	Columba livia (Rock dove)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11749	HBB_THUTH	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11752	HBB_LYRLY	Lyroderma lyra (Greater Asian false-vampire bat) (Megaderma lyra)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11754	HBB_CYNSP	Cynopterus sphinx (Indian short-nosed fruit bat)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11756	HBB_TADBR	Tadarida brasiliensis (Brazilian free-tailed bat)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P11758	HBB_MYOVE	Myotis velifer (Mouse-eared bat) (Cave bat)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P13274	HBB_CHRPI	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P13557	HBB_CARSF	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14260	HBB_CAIMO	Cairina moschata (Muscovy duck)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14388	HBB_ANTPA	Antrozous pallidus (Pallid bat) (Vespertilio pallidus)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14391	HBB_PTEAL	Pteropus alecto (Black flying fox)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14392	HBB_PTEPO	Pteropus poliocephalus (Grey-headed flying fox)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14521	HBB_ELEEL	Electrophorus electricus (Electric eel) (Gymnotus electricus)	147	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P14524	HBB_TURME	Turdus merula (Common blackbird)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P15165	HBB_APUAP	Apus apus (Common swift)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P15166	HBB_LEPWE	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P15449	HBB_MELCA	Mellivora capensis (Ratel) (Honey badger)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; hemoglobin alpha binding [GO:0031721]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
P16309	HBB_NOTNE	Notothenia neglecta (Yellowbelly rockcod) (Notothenia coriiceps neglecta)	146	blood microparticle [GO:0072562]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833]; haptoglobin binding [GO:0031720]; heme binding [GO:0020037]; organic acid binding [GO:0043177]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]
